feature,bucket,n,coverage_pct,win_rate,expectancy_r,lift_r,t_stat,coins_positive,years_positive
bb_pos,0.636..0.758,319310,12.498713177803012,0.31223575835395073,-0.3060200701548212,-0.0013095223829840963,-125.5663269661607,0.0,0.0
rsi,57.3..62.6,319343,12.500004892860064,0.31259179001888254,-0.3062457274738158,-0.001535179701978695,-125.1455801211479,0.0,0.0
above_ema20_1d,0,1451343,56.80974563781954,0.31232520499978295,-0.30632695631955603,-0.0016164085477189394,-268.73355780667623,0.0,0.0
bb_pos,0.369..0.503,319310,12.498713177803012,0.312201309072688,-0.3069109213264639,-0.002200373554626822,-126.34755271316672,0.0,0.0
rsi,50..53.5,319342,12.499965749979548,0.3134977547582216,-0.30697115364232913,-0.0022606058704920384,-125.63054668431597,0.0,0.0
consec_down,1,653960,25.59787814273295,0.31145941647807207,-0.30743153056117206,-0.002720982789334969,-180.908347410825,0.0,0.0
wick_lower_pct,33.3..42,318637,12.47237001921524,0.310729764591055,-0.30786884846727386,-0.0031583006954367665,-126.70531855766238,0.0,0.0
vol_ratio,1.23..1.71,319309,12.498674034922495,0.3119642728516891,-0.30793492028771774,-0.003224372515880647,-125.98342705368654,0.0,0.0
bb_pos,0.106..0.244,319310,12.498713177803012,0.3105853246061821,-0.3089997689873509,-0.004289221215513783,-127.58209458224368,0.0,0.0
vol_ratio,0.808..0.978,319309,12.498674034922495,0.3117826306179907,-0.30909664173125445,-0.004386093959417359,-126.61578550247836,0.0,0.0
wick_upper_pct,40..52.6,310877,12.168621266405271,0.3114897531821267,-0.30933437018929066,-0.004623822417453571,-125.52484098839003,0.0,0.0
vol_ratio,0.672..0.808,319310,12.498713177803012,0.310914158654599,-0.30938012408733073,-0.00466957631549364,-126.99093615658333,0.0,0.0
consec_up,1,655131,25.64371445581806,0.3110874008404426,-0.30940817834499607,-0.004697630573158973,-182.34838896936728,0.0,0.0
wick_lower_pct,-0.001..8.7,637651,24.959496904385293,0.3142283161164963,-0.3094280005492202,-0.004717452777383113,-178.5927684710594,0.0,0.0
body_pct,48.6..57.1,320464,12.54388406191934,0.3131147336362275,-0.3095733521271227,-0.004862804355285633,-127.25718419977444,0.0,0.0
bb_pos,0.244..0.369,319309,12.498674034922495,0.3103013068845538,-0.3100362562532394,-0.0053257084814022915,-128.1078541002545,0.0,0.0
consec_up,2,306955,12.015102889018582,0.3096154159404473,-0.31071313633056785,-0.006002588558730759,-125.673812902119,0.0,0.0
ema_stack,-1,943554,36.933421483100254,0.3092138870695265,-0.31098666156754085,-0.006276113795703753,-221.9525923375572,0.0,0.0
hour,22,106456,4.166994488290994,0.3104756894867363,-0.3111922630223841,-0.006481715250547027,-74.03503788940262,0.0,0.0
rsi,42.6..46.5,319343,12.500004892860064,0.31101981255264716,-0.31132366722970833,-0.0066131194578712416,-128.27935656651604,0.0,0.0
bb_pos,0.758..0.892,319309,12.498674034922495,0.3115039037421432,-0.3114926517748998,-0.006782104003062728,-127.68307878324663,0.0,0.0
consec_down,0,1358187,53.1633514604013,0.31128776817919773,-0.3115352330132373,-0.00682468524140023,-264.1517918552631,0.0,0.0
rsi,46.5..50,319343,12.500004892860064,0.31170872698008095,-0.31159491613556684,-0.006884368363729743,-128.0182734909331,0.0,0.0
rsi_1h,36.5..42,319336,12.499730892696448,0.3078325024425683,-0.31256367871677154,-0.00785313094493445,-129.63757930162242,0.0,0.0
vol_ratio,0.978..1.23,319310,12.498713177803012,0.31088597287902037,-0.31310126984590547,-0.00839072207406838,-128.2241951920079,0.0,0.0
rsi_1h,49.7..53.4,319334,12.499652606935413,0.3151246030801606,-0.3131056464986737,-0.00839509872683658,-127.51609717925466,0.0,0.0
trend_1h,0,1807941,70.76801854433107,0.3104149969495686,-0.3132356149621151,-0.008525067190278013,-307.59186565536055,0.0,0.0
rsi,37.3..42.6,319343,12.500004892860064,0.30905327500524515,-0.3134333667670851,-0.008722818995248016,-129.67085109767214,0.0,0.0
rsi_1h,57.5..63.2,319340,12.499887464218514,0.30895284023298053,-0.3145628373011128,-0.009852289529275693,-128.73494544464344,0.0,0.0
hour,0,106493,4.1684427748701145,0.3080953677706516,-0.315159102397005,-0.010448554625167916,-74.9747245073336,0.0,0.0
body_pct,80.2..100,318798,12.478672022978436,0.3138099988080226,-0.31597636686290376,-0.011265819091066664,-128.70212302118725,0.0,0.0
rsi_1h,42..46.1,319339,12.499848321337998,0.3104976216497202,-0.3171606646333204,-0.012450116861483285,-130.63301183351865,0.0,0.0
ema_stack,0,731870,28.647499963792836,0.31113039200950987,-0.31730827658911087,-0.012597728817273779,-197.27188041118166,0.0,0.0
hour,23,106458,4.167072774052028,0.3091453906704992,-0.317592789544763,-0.012882241772925906,-75.44240219941211,0.0,0.0
dd_30d,-20.5..-16.2,319182,12.493702889096868,0.3051143234894198,-0.31770802074091353,-0.01299747296907644,-132.11861855788632,0.0,0.0
rsi,53.5..57.3,319343,12.500004892860064,0.3096952179944448,-0.31840121297470847,-0.013690665202871377,-130.55447957192203,0.0,0.0
hour,5,106373,4.163745629208104,0.3104171171255864,-0.3188603213983876,-0.01414977362655051,-75.07410460759554,0.0,0.0
wick_lower_pct,42..55.6,318802,12.478828594500504,0.3100796105419665,-0.31978331597896237,-0.015072768207125276,-131.5051936715896,0.0,0.0
ret_96,-2.24..-0.984,319203,12.49452488958772,0.3133648493278572,-0.32044972474958955,-0.015739176977752456,-131.90424197346542,0.0,0.0
dist_high_20,0.708..1,319310,12.498713177803012,0.307149791738436,-0.3211206438579497,-0.016410096086112602,-132.61799382973848,0.0,0.0
dist_low_20,0.777..1.08,319310,12.498713177803012,0.3075475243493783,-0.3213581021848683,-0.01664755441303123,-132.9107938855221,0.0,0.0
rsi_1h,53.4..57.5,319335,12.49969174981593,0.31104952479371195,-0.32150410857592887,-0.01679356080409178,-131.30060455907923,0.0,0.0
dow,3,365760,14.316899977805987,0.2993766404199475,-0.32169865544497706,-0.016988107673139963,-143.222368314309,0.0,0.0
body_pct,-0.001..12,318798,12.478672022978436,0.3097886435924943,-0.32262238444229707,-0.01791183667045998,-132.5821325674798,0.0,0.0
rsi_1h,46.1..49.7,319341,12.499926607099031,0.31118772722575555,-0.3229238156362928,-0.018213267864455707,-132.3347435866897,0.0,0.0
wick_lower_pct,55.6..100,318794,12.478515451456369,0.30728934672547165,-0.32802688761126747,-0.023316339839430378,-135.30071738243936,0.0,0.0
bb_width_pctile,0.36..0.49,318682,12.474131448838493,0.30366635078228454,-0.3292877498027426,-0.02457720203090552,-135.79450069339808,0.0,0.0
btc_ret_24h,-0.496..0.0407,295316,11.559518902684145,0.3124517466036381,-0.3312991401734553,-0.026588592401618205,-130.6050612787107,0.0,0.0
hour,6,106407,4.165076487145674,0.3072636198746323,-0.33228741047505345,-0.027576862703216354,-78.53438129817494,0.0,0.0
wick_upper_pct,-0.001..7.14,637811,24.965759765267975,0.3099005818338034,-0.33482137426210473,-0.03011082649026764,-193.94481787822588,0.0,0.0
ema200_rel,0.541..1.36,319343,12.500004892860064,0.3160144421515424,-0.3360255623167979,-0.03131501454496083,-136.8826847734674,0.0,0.0
up_from_low_30d,8.62..12.6,319169,12.49319403165015,0.3163245803947125,-0.33650669259646276,-0.03179614482462567,-137.64024135265063,0.0,0.0
atr_pct,0.373..0.461,319343,12.500004892860064,0.3031004280663738,-0.34064784112960816,-0.03593729335777107,-141.55741232875602,0.0,0.0
hour,13,106440,4.166368202202727,0.30043216835776027,-0.34111983974378013,-0.036409291971943036,-81.47182036607856,0.0,0.0
btc_ret_24h,0.571..1.34,295337,11.560340903174996,0.3017231163044251,-0.3422200234650212,-0.03750947569318408,-135.71233725391662,0.0,0.0
ret_16,-0.793..-0.331,319358,12.500592036067816,0.3069188810050163,-0.3426156835887967,-0.03790513581695959,-141.25478818626692,0.0,0.0
ema50_rel,0.272..0.654,319343,12.500004892860064,0.31121396116401484,-0.3436489997550865,-0.03893845198324941,-140.6860501148172,0.0,0.0
hour,7,106383,4.164137058013272,0.3034413393117321,-0.344975793195476,-0.04026524542363891,-81.7200339659266,0.0,0.0
btc_ret_24h,1.34..2.72,295356,11.561084617904815,0.2933747748479801,-0.34544724128342896,-0.04073669351159187,-138.51399797534626,0.0,0.0
ret_1d_5,-5.37..-2.52,318384,12.462466870444503,0.3085142469470828,-0.3464199859169233,-0.04170943814508621,-142.82739766106684,0.0,0.0
dd_30d,-16.2..-12.2,319172,12.4933114602917,0.30072813404684623,-0.34751968695475915,-0.04280913918292206,-144.72563130598851,0.0,0.0
ret_4,-0.391..-0.163,319347,12.500161464382131,0.30529799872865565,-0.34913368461094996,-0.044423136839112864,-144.14244050105074,0.0,0.0
ema20_rel,0.168..0.394,319343,12.500004892860064,0.3077318118762584,-0.34957969506087644,-0.044869147289039346,-143.8157108124006,0.0,0.0
ema20_rel,-0.405..-0.168,319343,12.500004892860064,0.3040617768355655,-0.3509267069365674,-0.04621615916473032,-145.21304265365055,0.0,0.0
ret_4,0.167..0.391,319336,12.499730892696448,0.3059442092341609,-0.3515242459628879,-0.0468136981910508,-145.20772657708744,0.0,0.0
hour,8,106395,4.164606772579472,0.30027726866864046,-0.35313215053663766,-0.048421602764800564,-83.96937751570509,0.0,0.0
ret_1d_5,1.78..4.78,318368,12.461840584356235,0.31108025932254496,-0.3539678037426725,-0.04925725597083541,-144.65934866006904,0.0,0.0
dow,5,365429,14.303943684354943,0.3110617931253404,-0.3572261091140988,-0.05251556134226171,-156.72807575825485,0.0,0.0
ret_16,0.332..0.781,319471,12.505015181566208,0.30531096719264034,-0.35723726563461156,-0.052526717862774464,-147.3331263206695,0.0,0.0
ema50_rel,-0.701..-0.299,319343,12.500004892860064,0.3006265989860432,-0.35779873546141033,-0.05308818768957324,-148.77142044112904,0.0,0.0
ema200_rel,-1.57..-0.716,319343,12.500004892860064,0.30051386753428133,-0.35836453489949704,-0.05365398712765995,-149.38147505464556,0.0,0.0
dist_high_20,0.463..0.708,319307,12.498595749161462,0.3067236233468104,-0.35875837052946374,-0.05404782275762665,-147.62978032616957,0.0,0.0
hour,9,106482,4.16801220318443,0.2981818523318495,-0.3591846168362626,-0.054474069064425534,-85.70892428647072,0.0,0.0
bb_width_pctile,0.233..0.36,318077,12.45045000612586,0.3000154050748718,-0.3595736909618796,-0.054863143190042485,-148.17493669170116,0.0,0.0
dd_30d,-12.2..-8.28,319176,12.493468031813768,0.3042897962252801,-0.36101143812839265,-0.056300890356555555,-149.12074893542498,0.0,0.0
dist_low_20,0.524..0.777,319309,12.498674034922495,0.3053249360337479,-0.36297063796120277,-0.058260090189365676,-149.9285151194303,0.0,0.0
hour,10,106483,4.168051346064947,0.29633838265263,-0.36439159731732257,-0.059681049545485476,-86.93800639171434,0.0,0.0
dd_30d,-8.28..-4.52,319176,12.493468031813768,0.3122258565806953,-0.3655265878773465,-0.060816040105509395,-148.86361078053054,0.0,0.0
dd_30d,-4.52..0,319177,12.493507174694285,0.3200731882309816,-0.3708787225872366,-0.0661681748153995,-148.61728961807128,0.0,0.0
hour,11,106492,4.168403631989597,0.2951677121286106,-0.3712455376187517,-0.06653498984691458,-88.70464989778787,0.0,0.0
ret_96,0.849..2.07,319191,12.494055175021519,0.30177855891926775,-0.37404133446834475,-0.06933078669650766,-154.42167796126816,0.0,0.0
hour,12,106483,4.168051346064947,0.2900556896405999,-0.3805181573666053,-0.07580760959476823,-91.44051770447805,0.0,0.0
bb_width_pctile,0.109..0.233,318652,12.472957162422992,0.301080802882141,-0.38173835913423554,-0.07702781136239845,-156.38468286562426,0.0,0.0
btc_ret_24h,0.0407..0.571,295330,11.560066903011379,0.29621101818304946,-0.38517752812416756,-0.08046698035233046,-153.4776094986126,0.0,0.0
dow,6,364319,14.260495086981352,0.29775004872103844,-0.3873968125998811,-0.08268626482804403,-169.1111789678308,0.0,0.0
up_from_low_30d,5.06..8.62,319176,12.493468031813768,0.31024889089405217,-0.38944869223440143,-0.08473814446256434,-159.70537797474225,0.0,0.0
